Filename,Lag,Error
A_221014_120122,-0.301,0.121
A_221014_120028,-0.712,0.085
B_221014_120003,-0.4185,0.0415
B_221014_115947,-0.536,0.066
C_221014_121331,-0.402,0.058
C_221014_121345,-0.817,0.053
D_221014_115731,-0.277,0.0515
D_221014_115714,-0.672,0.04
E_221014_120802,-0.3585,0.05
E_221014_120816,-0.917,0.118
F_221014_120841,-0.1755,0.074
F_221014_120856,-0.6115,0.059
G_221014_121535,-0.4665,0.0645
G_221014_121551,-0.0655,0.0755
H_221014_121659,-0.738,0.0965
H_221014_121715,-0.2145,0.146
I_221014_120559,-0.892,0.0405
I_221014_120614,-0.9155,0.0585
J_221014_121455,-0.0955,0.0725
J_221014_121510,-0.9565,0.0885
K_221014_120149,-0.543,0.0605
K_221014_120204,-0.577,0.058
L_221014_121428,-0.421,0.0545
L_221014_121413,-0.688,0.065
M_221014_120639,-0.3255,0.0855
M_221014_120655,-0.2755,0.05
N_221014_120922,-0.301,0.061
N_221014_120938,-0.2085,0.0485
O_221014_121224,-0.811,0.078
O_221014_121208,-0.736,0.0545
P_221014_120721,-0.1525,0.2085
P_221014_120735,-0.7675,0.071
Q_221014_115858,-0.9355,0.068
Q_221014_115919,-0.6085,0.087
R_221014_121139,-0.965,0.2465
R_221014_121125,-0.8945,0.113
S_221014_120247,-0.6425,0.096
S_221014_120232,-0.4245,0.094
T_221014_121634,-0.951,0.0675
T_221014_121620,-0.3145,0.0915
U_221014_121019,-0.725,0.06
U_221014_121004,-0.8015,0.0755
V_221014_121306,-0.3125,0.0475
V_221014_121252,-0.4835,0.049
W_221014_120452,-0.4465,0.0825
W_221014_120341,-0.1575,0.088
X_221014_115817,-0.524,0.0415
X_221014_115801,-0.169,0.072
Y_221014_121044,-0.9085,0.0875
Y_221014_121059,-0.109,0.0805
Z_221014_120534,-0.1905,0.0825
Z_221014_120518,-0.956,0.234
